id,text
3258,"Police Report"
3259,"Apologies for absence"
3260,"Public Forum"
3261,"Declarations of interest"
3262,"Approval of minutes of previous meeting"
3263,"Financial Report"
3264,"Accounts for payment:-
Clerk's Salary & Expenses
Merlin Environmental Services
One Voice Wales subscription
Councillor Travelling Expenses"
3265,"Planning Permissions:-
DM/2021/01528 - Gower Cottage, Glyn View (new dwelling & garage in garden)
DM/2021/01416 - Tintern Old Station. Report back from Gwent Magistrates Court Hearing"
3266,"Updates:-
Wye Valley Villages Project - Discuss village sign logos
Clearance of The Pound
Ideas for Queen's Platinum Jubilee celebration
Fryer's Wharf Access
Problem with misuse of unclassified roads in the area by off-road vehicles"
3267,"Reports from outside bodies:-
Lower Wye Valley Building Preservation Trust
Village Hall
Llandogo School
St Michael's Church"
3268,"Reports from Sub-Committees:- Finance - 2020/21 Audit completed."
3269,"Filling Station Cafe"
3270,"Destination Partnership Management Project"
3271,"Proposals to remove Rapid Response Vehicles by Ambulance Service at  Monmouth & Parkwall, Chepstow"
3272,"Renaming of Website"
3273,"Correspondence"
3274,"Any Other Business"
3275,"Date of next meeting"