id,standard,alternative,english
2870,Rhydyclafdy,,Rhydyclafdy
2871,Rhydycroesau,,Rhydycroesau
2872,Rhydyfelin,,Rhydyfelin
2873,Rhydyfelin,,Rhydyfelin
2874,Rhyd-y-foel,,Rhyd-y-foel
2875,Rhyd-y-fro,,Rhyd-y-fro
2876,Rhydygele,,Rhydygele
2877,Rhyd-y-gwin,,Rhyd-y-gwin
2878,Rhydygwystl,,Rhydygwystl
2879,Rhyd-y-main,,Rhyd-y-main
2880,Rhyd-y-meirch,,Rhyd-y-meirch
2881,Rhydymeudwy,,Rhydymeudwy
2882,Rhyd-y-mwyn,,Rhyd-y-mwyn
2883,Rhydypandy,,Rhydypandy
2884,Rhydypennau,,Rhydypennau
2885,Rhydyronnen,,Rhydyronnen
2886,Rhyd-y-sarn,,Rhyd-y-sarn
2887,Rhyd-y-wrach,,Rhyd-y-wrach
2888,"Y Rhyl",,Rhyl
2889,Rhymni,,Rhymney
2890,Rhyndwyglydach,,Rhyndwyglydach
2891,Rhytalog,,Rhytalog
2892,Ridgeway,,Ridgeway
2893,Ridleywood,,Ridleywood
2894,Ringland,,Ringland
2895,"Robeston Back",,"Robeston Back"
2896,"Robeston Wathen",,"Robeston Wathen"
2897,"Robeston West",,"Robeston West"
2898,"Roch Gate",,"Roch Gate"
2899,Rockfield,,Rockfield
2900,Rogiet,,Rogiet
2901,"Rose Valley",,"Rose Valley"
2902,Rosebush,,Rosebush
2903,Rosemarket,,Rosemarket
2904,Rudbaxton,,Rudbaxton
2905,Sageston,,Sageston
2906,"Sain Dunwyd",,"St Donats"
2907,"Sain Ffagan",,"St Fagans"
2908,"Sain Nicolas",,"St Nicholas"
2909,"Sain Silian",,"St Julians"
2910,"Sain Tathan",,"St Athan"
2911,"Saint Andras",,"St Andrews Major"
2912,"Saint Harmon",,"Saint Harmon"
2913,"Saint Hilari",,"St Hilary"
2914,Saint-y-brid,,"St Brides Major"
2915,Saint-y-brid,,"St Brides Netherwent"
2916,Saint-y-nyll,,Saint-y-nyll
2917,"Saith Maen",,"Saith Maen"
2918,Salem,,Salem
2919,Salem,,Salem
2920,Saltmarsh,,Saltmarsh
2921,Saltney,,Saltney
2922,Sanclêr,,"St Clears"
2923,Sandfields,,Sandfields
2924,"Sandy Haven",,"Sandy Haven"
2925,"Sandy Lane",,"Sandy Lane"
2926,Sandycroft,,Sandycroft
2927,Sardis,,Sardis
2928,Sarn,,Sarn
2929,Sarn,,Sarn
2930,Sarn,,Sarn
2931,"Sarn Mellteyrn",,"Sarn Mellteyrn"
2932,Sarnau,,Sarnau
2933,Sarnau,,Sarnau
2934,Sarnau,,Sarnau
2935,Sarnau,,Sarnau
2936,Sarn-bach,,Sarn-bach
2937,Sarn-wen,,Sarn-wen
2938,Saron,,Saron
2939,Saron,,Saron
2940,Saron,,Saron
2941,Saron,,Saron
2942,Saundersfoot,,Saundersfoot
2943,"Y Sblot",,Splott
2944,Scleddau,,Scleddau
2945,Scurlage,,Scurlage
2946,Sealand,,Sealand
2947,Sebastopol,,Sebastopol
2948,Seion,,Seion
2949,Senghenydd,,Senghenydd
2950,Sgethrog,,Sgethrog
2951,Sgeti,,Sketty
2952,"Sgeti Isaf",,"Lower Sketty"
2953,Sgiwen,,Skewen
2954,"Y Sgwâr",,"Square and Compass"
2955,Sgwrfa,,Sgwrfa
2956,Shelf,,Shelf
2957,Shipping,,Shipping
2958,Shotton,,Shotton
2959,Shwt,,Shwt
2960,Sili,,Sully
2961,Silian,,Silian
2962,Siloh,,Siloh
2963,Silstwn,,Gileston
2964,Simpson,,Simpson
2965,"Simpson Cross",,"Simpson Cross"
2966,Singleton,,Singleton
2967,Singret,,Singret
2968,Sirhywi,,Sirhowy
2969,"Six Bells",,"Six Bells"
2970,Skerryford,,Skerryford
2971,Skokholm,,Skokholm
2972,Skomer,,Skomer
2973,Slade,,Slade
2974,Slebets,,Slebech
2975,Sling,,Sling
2976,Slough,,Slough
2977,Snatchwood,,Snatchwood
2978,Snead,,Snead
2979,Soar,,Soar
2980,Soar,,Soar
2981,Soar,,Soar
2982,Soar,,Soar
2983,Solfach,,Solva
2984,"Solfach Isaf",,"Lower Solva"
2985,"Solfach Uchaf",,"Upper Solva"
2986,Somerton,,Somerton
2987,Sonlli,,Sontley
2988,Southerndown,,Southerndown
2989,Southgate,,Southgate
2990,Southgate,,Southgate
2991,Southsea,,Southsea
2992,Southville,,Southville
2993,Spelter,,Spelter
2994,Spittal,,Spittal
2995,"St Dials",,"St Dials"
2996,"St Florence",,"St Florence"
2997,"St Thomas",,"St Thomas"
2998,Stanleytown,,Stanleytown
2999,Star,,Star
3000,Star,,Star
3001,"Star Hill",,"Star Hill"
3002,Staylittle,,Staylittle
3003,Stelvio,,Stelvio
3004,Stepaside,,Stepaside
3005,Stepaside,,Stepaside
3006,Steynton,,Steynton
3007,Stop-and-Call,,Stop-and-Call
3008,"Stow Park",,"Stow Park"
3009,Strytlydan,,Strytlydan
3010,Stryt-yr-hwch,,Stryt-yr-hwch
3011,Sudbrook,,Sudbrook
3012,"Summer Hill",,"Summer Hill"
3013,Summerhill,,Summerhill
3014,Summerleaze,,Summerleaze
3015,Summerleaze,,Summerleaze
3016,Sutton,,Sutton
3017,"Sutton Green",,"Sutton Green"
3018,Swanbridge,,Swanbridge
3019,Swffryd,,Swffryd
3020,Swyddffynnon,,Swyddffynnon
3021,Sychdyn,,Sychdyn
3022,Sydallt,,Sydallt
3023,Sylen,,Sylen
3024,Tabor,,Tabor
3025,Tafarnau-bach,,Tafarnau-bach
3026,Tafarn-sbeit,,Tafarn-sbeit
3027,Tafarn-y-bwlch,,Tafarn-y-bwlch
3028,Tafolwern,,Tafolwern
3029,Tai-bach,,Tai-bach
3030,Taigwynion,,Taigwynion
3031,Taimorfa,,Taimorfa
3032,Tai-nant,,Tai-nant
3033,Tai'r-gwaith,,Tai'r-gwaith
3034,Tai'rheol,,Tai'rheol
3035,Taironnen,,Taironnen
3036,Tai'rysgol,,Tai'rysgol
3037,Talachddu,,Talachddu
3038,Talacre,,Talacre
3039,Talardd,,Talardd
3040,Talbenny,,Talbenny
3041,Talerddig,,Talerddig
3042,Talgarreg,,Talgarreg
3043,Talgarth,,Talgarth
3044,Taliaris,,Taliaris
3045,Tallistown,,Tallistown
3046,Talog,,Talog
3047,Tal-sarn,,Tal-sarn
3048,Talsarnau,,Talsarnau
3049,Talweunydd,,Talweunydd
3050,Talwrn,,Talwrn
3051,Talwrn,,Talwrn
3052,"Talwrn Green",,"Tallarn Green"
3053,Tal-y-bont,,Tal-y-bont
3054,Tal-y-bont,,Tal-y-bont
3055,Tal-y-bont,,Tal-y-bont
3056,Tal-y-bont,,Buttington
3057,Tal-y-bont,,Tal-y-bont
3058,"Tal-y-bont ar Wysg",,Talybont-on-Usk
3059,Tal-y-cafn,,Tal-y-cafn
3060,Talyllychau,,Talley
3061,Tal-y-llyn,,Tal-y-llyn
3062,Tal-y-llyn,,Tal-y-llyn
3063,Tal-y-sarn,,Tal-y-sarn
3064,Tal-y-waun,,Tal-y-waun
3065,Tal-y-wern,,Tal-y-wern
3066,Tanerdy,,Tanerdy
3067,Tangiers,,Tangiers
3068,Tanglwst,,Tanglwst
3069,Tan-lan,,Tan-lan
3070,Tan-y-fron,,Tan-y-fron
3071,Tan-y-fron,,Tan-y-fron
3072,Tanygrisiau,,Tanygrisiau
3073,Tan-y-groes,,Tan-y-groes
3074,Tan-y-maes,,Tan-y-maes
3075,Tegryn,,Tegryn
3076,"Temple Bar",,"Temple Bar"
3077,"Temple Bar",,"Temple Bar"
3078,"Thomas Chapel",,"Thomas Chapel"
3079,Thomastown,,Thomastown
3080,Thorn,,Thorn
3081,Thornton,,Thornton
3082,"Three Fingers",,"Three Fingers"
3083,"Tiers Cross",,"Tiers Cross"
3084,"Tir Syr Walter",,"Tir Syr Walter"
3085,Tirabad,,Tirabad
3086,Tircanol,,Tircanol
3087,Tirdeunaw,,Tirdeunaw
3088,Tirpenry,,Tirpenry
3089,Tir-phil,,Tir-phil
3090,Tir-y-berth,,Tir-y-berth
3091,Tir-y-dail,,Tir-y-dail
3092,Tirymynach,,Tirymynach
3093,Tirymynach,,Tirymynach
3094,Tirymynach,,Tirymynach
3095,Ton,,Ton
3096,Tonbreigam,,Tonbreigam
3097,Ton-du,,Ton-du
3098,Tonfanau,,Tonfanau
3099,Tongwynlais,,Tongwynlais
3100,Ton-mawr,,Ton-mawr
3101,Tonna,,Tonna
3102,Tonpentre,,Tonpentre
3103,Ton-teg,,Ton-teg
3104,Tonypandy,,Tonypandy
3105,Tonypistyll,,Tonypistyll
3106,Tonyrefail,,Tonyrefail
3107,Tonysguboriau,,"Talbot Green"
3108,Townhill,,Townhill
3109,Towyn,,Towyn
3110,"Traeth Coch",,"Red Wharf Bay"
3111,"Traeth Mawr",,"Traeth Mawr"
3112,"Traeth Treco ",,"Trecco Bay"
3113,Trallong,,Trallong
3114,Trallwn,,Trallwn
3115,"Y Trallwng",,Welshpool
3116,Trannon,,Trannon
3117,"Y Transh",,Tranch
3118,Trap,,Trap
3119,"Travellers Rest",,"Travellers Rest"
3120,Trawsfynydd,,Trawsfynydd
3121,Trawsgoed,,Trawsgoed
3122,"Tre loan",,Johnstown
3123,"Tre Mostyn",,"Tre Mostyn"
3124,"Tre Taliesin",,"Tre Taliesin"
3125,Treadam,,Treadam
3126,Trealaw,,Trealaw
3127,Treamlod,,Ambleston
3128,Trearddur,,Trearddur
3129,Tre-Aubrey,,Tre-Aubrey
3130,Trebannog,,Trebannog
3131,Trebanos,,Trebanos
3132,Trebedw,,Trebedw
3133,Trebefered,,Boverton
3134,Treberfedd,,Middletown
3135,Tre-boeth,,Tre-boeth
3136,Trecastell,,Trecastell
3137,Trecelyn,,Newbridge
3138,Trecenydd,,Trecenydd
3139,Trecŵn,,Trecŵn
3140,Trecŵn,,Trecŵn
3141,Trecynon,,Trecynon
3142,Tre-ddu,,Blacktown
3143,Tredegar,,Tredegar
3144,"Tredegar Newydd",,"New Tredegar"
3145,Tredelerch,,Rumney
3146,Tredemel,,Templeton
3147,Tredodridge,,Tredodridge
3148,Tredogan,,Tredogan
3149,Tredomen,,Tredomen
3150,Tredomen,,Tredomen
3151,Tredŵr,,Waterton
3152,Tredwstan,,Tredwstan
3153,Tredynog,,Tredunnock
3154,"Tref Elliot",,"Elliot's Town"
3155,Tre-faes,,Tre-faes
3156,Trefaldwyn,,Montgomery
3157,Trefalun,,Trefalun
3158,Trefansel,,Manselton
3159,Trefaser,,Trefaser
3160,Trefddyn,,Trefethin
3161,Trefdraeth,,Trefdraeth
3162,Trefdraeth,,Newport
3163,Trefeca,,Trefeca
3164,Trefechan,,Trefechan
3165,Trefechan,,Trefechan
3166,Trefechan,,Trefechan
3167,Trefechan,,Trevaughan
3168,Trefeglwys,,Trefeglwys
3169,Trefeini,,Trefeini
3170,Trefeitha,,Trefeitha
3171,Trefelen,,Bletherston
3172,Trefenter,,Trefenter
3173,Trefesgob,,Bishton
3174,Trefflemin,,Flemingston
3175,Trefforest,,Trefforest
3176,Treffynnon,,Holywell
3177,Treffynnon,,Treffynnon
3178,Trefgarn,,Trefgarn
3179,Trefgarnowen,,Trefgarnowen
3180,Trefil,,Trefil
3181,Trefilan,,Trefilan
3182,Tre-fin,,Tre-fin
3183,Trefnannau,,Trefnannau
3184,Trefnant,,Trefnant
3185,Trefonnen,,Nash
3186,Trefor,,Trefor
3187,Trefor,,Trefor
3188,Trefor,,Trefor
3189,Treforgan,,Treforgan
3190,Treforys,,Morriston
3191,Trefriw,,Trefriw
3192,Trefwrdan,,Jordanston
3193,Trefyclo,,Knighton
3194,Trefynwy,,Monmouth
3195,Tregaean,,Tregaean
3196,Treganna,,Canton
3197,Tregaron,,Tregaron
3198,Tre-garth,,Tre-garth
3199,Tregatwg,,Cadoxton
3200,Tregeiriog,,Tregeiriog
3201,Tregele,,Tregele
3202,Tregetin,,Keeston
3203,Treginis,,Treginis
3204,Treglemais,,Treglemais
3205,Tre-goed,,Tregoyd
3206,Tre-gof,,Tre-gof
3207,Tregolwyn,,Colwinston
3208,Tre-groes,,Tre-groes
3209,Tre-groes,,Whitchurch
3210,Tregŵyr,,Gowerton
3211,Tregyddulan,,Tregyddulan
3212,Tregynnwr,,Tregynnwr
3213,Tregynon,,Tregynon
3214,Trehafod,,Trehafod
3215,Treharris,,Treharris
3216,Treherbert,,Treherbert
3217,Treherbert,,Treherbert
3218,Trehopcyn,,Hopkinstown
3219,Tre-hyl,,Tre-hill
3220,Trelái,,Ely
3221,Trelales,,Laleston
3222,Trelawnyd,,Trelawnyd
3223,Tre-lech,,Tre-lech
3224,"Tre-lech a'r Betws",,"Tre-lech a'r Betws"
3225,Treleddyd-fawr,,Treleddyd-fawr
3226,Trelerw,,Trelerw
3227,Treletert,,Letterston
3228,Trelewis,,Trelewis
3229,"Trellech Grange",,"Trellech Grange"
3230,Trelogan,,Trelogan
3231,Trelyn,,Fleur-de-lis
3232,Trelystan,,Trelystan
3233,Tremadog,,Tremadog
3234,Tre-main,,Tre-main
3235,Tremains,,Tremains
3236,Tremarchog,,"St Nicholas"
3237,Tremeirchion,,Tremeirchion
3238,Tremorfa,,Tremorfa
3239,Treopert,,Granston
3240,Tre-os,,Tre-os
3241,Treowen,,Treowen
3242,Treowen,,Treowen
3243,Tre-pit,,Tre-pit
3244,Tre'r-ddôl,,Tre'r-ddôl
3245,Tre'r-gaer,,Tre'r-gaer
3246,Trerhingyll,,Trerhingyll
3247,Tre'r-llai,,Leighton
3248,Tre'r-llan,,Tre'r-llan
3249,Tre-saith,,Tre-saith
3250,Tresalem,,Robertstown
3251,Tresigin,,Sigingstone
3252,Tresimwn,,Bonvilston
3253,Treteio,,Treteio
3254,Trethomas,,Trethomas
3255,Tretomas,,Thomastown
3256,Tretŵr,,Tretower
3257,Treuddyn,,Treuddyn
3258,Trewallter,,Walterston
3259,Tre-wen,,Tre-wen
3260,Trewern,,Trewern
3261,Trewiliam,,Williamstown
3262,Trewyddel,,Moylgrove
3263,Trewyddfa,,Trewyddfa
3264,Trewyn,,Trewyn
3265,Triffleton,,Triffleton
3266,Trimsaran,,Trimsaran
3267,Trinant,,Trinant
3268,Trisant,,Trisant
3269,Troedrhiw’r-clawdd,,Victoria
3270,Troedrhiwdalar,,Troedrhiwdalar
3271,Troedrhiw-gwair,,Troedrhiw-gwair
3272,Troedrhiw'r-fuwch,,Troedrhiw'r-fuwch
3273,Troed-yr-aur,,Troed-yr-aur
3274,Troed-y-rhiw,,Troed-y-rhiw
3275,Trofarth,,Trofarth
3276,"Trooper's Inn",,"Trooper's Inn"
3277,Trostre,,Trostre
3278,Trowbridge,,Trowbridge
3279,"Trwyn Larnog",,"Lavernock Point"
3280,Tryleg,,Trellech
3281,Tudweiliog,,Tudweiliog
3282,Tufton,,Tufton
3283,"The Tumble",,"The Tumble"
3284,"Twmpath Diwlith",,"Twmpath Diwlith"
3285,"Two Locks",,"Two Locks"
3286,"Twyn Wenallt",,"Twyn Wenallt"
3287,"Y Twyn",,Dukestown
3288,Twynallws,,Twynallws
3289,Twyncynhordy,,Twyncynhordy
3290,Twyndrysïog,,"Briery Hill"
3291,Twynllannan,,Twynllannan
3292,Twynyrargoed,,Twynyrargoed
3293,Twynyrodyn,,Twynyrodyn
3294,Twynyrodyn,,Twynyrodyn
3295,Twynysheriff,,Twynysheriff
3296,"Tŷ Sign",,"Tŷ Sign"
3297,Tŷ-canol,,Tŷ-canol
3298,Tŷ-coch,,Tŷ-coch
3299,Tŷ-croes,,Tŷ-croes
3300,Tŷ-croes,,Tŷ-croes
3301,Tŷ-crwyn,,Tŷ-crwyn
3302,Tyddewi,,"St Davids"
3303,Tŷ-draw,,Tŷ-draw
3304,Tŷ-du,,Rogerstone
3305,Tŷ-fry,,Tŷ-fry
3306,Tyla,,Tyla
3307,Tyla-gwyn,,Tyla-gwyn
3308,Tyle,,Tyle
3309,Tylegarw,,Tylegarw
3310,"Y Tyllgoed",,Fairwater
3311,Tŷ-llwyn,,Tŷ-llwyn
3312,Tylorstown,,Tylorstown
3313,Tylwch,,Tylwch
3314,Tŷ-mawr,,Tŷ-mawr
3315,"Y Tymbl",,"Y Tymbl"
3316,Tŷ-nant,,Tŷ-nant
3317,Tŷ-nant,,Tŷ-nant
3318,Tŷ-nant,,Tŷ-nant
3319,Tyndyrn,,Tintern
3320,Tynewydd,,Tynewydd
3321,Tynewydd,,Tynewydd
3322,Tynewydd,,Tynewydd
3323,Tyn'reithin,,Tyn'reithin
3324,Tyntetown,,Tyntetown
3325,Tyn-y-bryn,,Tyn-y-bryn
3326,Ty'n-y-coedcae,,Waterloo
3327,Tyn-y-cwm,,Tyn-y-cwm
3328,Tyn-y-ffordd,,Tyn-y-ffordd
3329,Tyn-y-garn,,Tyn-y-garn
3330,Tyn-y-gongl,,Tyn-y-gongl
3331,Tyn-y-graig,,Tyn-y-graig
3332,Tyn-y-groes,,Tyn-y-groes
3333,Tyn-y-maes,,Tyn-y-maes
3334,Tŷ'r-frân,,Tŷ'r-frân
3335,Tŷ-rhiw,,Tŷ-rhiw
3336,Tywyn,,Tywyn
3337,Tywyn,,Tywyn
3338,Ucheldre,,Ucheldre
3339,Underwood,,Underwood
3340,Uplands,,Uplands
3341,"Upper Nash",,"Upper Nash"
3342,"Upper Redbrook",,"Upper Redbrook"
3343,Uwchmynydd,,Uwchmynydd
3344,Uwch-y-coed,,Uwch-y-coed
3345,Uzmaston,,Uzmaston
3346,"The Valley",,"The Valley"
3347,"The Village",,"The Village"
3348,Wallington,,Wallington
3349,Wallis,,Wallis
3350,Wallston,,Wallston
3351,Walson,,Walson
3352,Walton,,Walton
3353,"Walton Green",,"Walton Green"
3354,"Waltwn, Dwyrain",,"Walton, East"
3355,"Waltwn, Gorllewin",,"Walton, West"
3356,Wal-wen,,Wal-wen
3357,Warren,,Warren
3358,Waterston,,Waterston
3359,Wattstown,,Wattstown
3360,Wattsville,,Wattsville
3361,Waun,,Waun
3362,Waun,,Waun
3363,Waun,,Waun
3364,"Waun Pentir",,"Waun Pentir"
3365,"Y Waun",,Gwernaffield
3366,"Y Waun",,Chirk
3367,Waunarlwydd,,Waunarlwydd
3368,Waunclunda,,Waunclunda
3369,Waun-deg,,Waun-deg
3370,Waun-fach,,Waun-fach
3371,Waunfawr,,Waunfawr
3372,Waunfawr,,Waunfawr
3373,Waunfelin,,Waunfelin
3374,Waungilwen,,Waungilwen
3375,Waun-gron,,Waun-gron
3376,Waun-gron,,Waun-gron
3377,Waunifor,,Waunifor
3378,Waunllapria,,Waunllapria
3379,Waun-lwyd,,Waun-lwyd
3380,Waun-wen,,Waun-wen
3381,Waun-wen,,Waun-wen
3382,Waun-wen,,Waun-wen
3383,Waun-y-clun,,Waun-y-clun
3384,"Wayne Green",,"Wayne Green"
3385,Wdig,,Goodwick
3386,"Welsh Hook",,"Welsh Hook"
3387,Wenallt,,Wenallt
3388,Wern,,Wern
3389,Wern,,Wern
3390,Wern-ddu,,Wern-ddu
3391,Wernffrwd,,Wernffrwd
3392,Wernolau,,Wernolau
3393,Wernrheolydd,,Wernrheolydd
3394,Wern-y-cwrt,,Wern-y-cwrt
3395,"West Bank",,"West Bank"
3396,"West Cross",,"West Cross"
3397,"West Denant",,"West Denant"
3398,"West End",,"West End"
3399,"West Side",,"West Side"
3400,"West Village",,"West Village"
3401,"West Williamston",,"West Williamston"
3402,Westra,,Westra
3403,Whitelye,,Whitelye
3404,Whiterock,,Whiterock
3405,"Whitewall Common",,"Whitewall Common"
3406,Whitewell,,Whitewell
3407,Whitson,,Whitson
3408,"Y Wig",,Wick
3409,Wig-fach,,Wig-fach
3410,Wilcrick,,Wilcrick
3411,Willowtown,,Willowtown
3412,Winchestown,,Winchestown
3413,Winllan,,Winllan
3414,Winsh-wen,,Winsh-wen
3415,Wolfsdale,,Wolfsdale
3416,Womaston,,Womaston
3417,Wood,,Wood
3418,Wooden,,Wooden
3419,Worthenbury,,Worthenbury
3420,Wrecsam,,Wrexham
3421,"Yr Wyddfa",,Snowdon
3422,"Yr Wyddgrug",,Mold
3423,Wyesham,,Wyesham
3424,Wyllie,,Wyllie
3425,Wyndham,,Wyndham
3426,"Wyndham Park",,"Wyndham Park"
3427,"Y Bermo",,Barmouth
3428,"Y Dafarn Newydd",,"New Inn"
3429,"Y Ddraenen",,Thornhill
3430,"Y Graig",,"The Rock"
3431,Yerbeston,,Yerbeston
3432,Ynys,,Ynys
3433,"Ynys Bŷr",,Caldey
3434,"Ynys Deullyn",,"Ynys Deullyn"
3435,"Ynys Dewi",,Ramsey
3436,"Ynys Enlli",,Bardsey
3437,"Ynys Isaf",,"Ynys Isaf"
3438,"Ynys y Barri",,"Barry Island"
3439,Ynys-boeth,,Ynys-boeth
3440,Ynys-ddu,,Ynys-ddu
3441,Ynys-fach,,Ynys-fach
3442,Ynysforgan,,Ynysforgan
3443,Ynysgynwraidd,,Skenfrith
3444,Ynys-hir,,Ynys-hir
3445,Ynys-las,,Ynys-las
3446,Ynysmaerdy,,Ynysmaerdy
3447,Ynysmeudwy,,Ynysmeudwy
3448,Ynysowen,,"Merthyr Vale"
3449,Ynystawe,,Ynystawe
3450,Ynys-wen,,Ynys-wen
3451,Ynys-y-bwl,,Ynys-y-bwl
3452,Ynys-y-gwas,,Ynys-y-gwas
3453,Ynysymaerdy,,Ynysymaerdy
3454,Ynysymwn,,Ynysymwn
3455,Ysbyty,,Ysbyty
3456,"Ysbyty Ifan",,"Ysbyty Ifan"
3457,"Ysbyty Ystwyth",,"Ysbyty Ystwyth"
3458,Ysgeifiog,,Ysgeifiog
3459,Ysgeifiog,,Ysgeifiog
3460,Ystagbwll,,Stackpole
3461,Ystalyfera,,Ystalyfera
3462,"Yr Ystog",,Churchstoke
3463,Ystrad,,Ystrad
3464,"Ystrad Mynach",,"Ystrad Mynach"
3465,Ystradaeron,,Ystradaeron
3466,Ystradfellte,,Ystradfellte
3467,Ystrad-fflur,,"Strata Florida"
3468,Ystradgynlais,,Ystradgynlais
3469,Ystradmeurig,,Ystradmeurig
3470,Ystradowen,,Ystradowen
3471,Ystradowen,,Ystradowen
3472,"Ystum Taf",,"Llandaf North"
3473,Ystumllwynarth,,Oystermouth
3474,Ystumtuen,,Ystumtuen
